"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/sketchbook-variant-of-a-sad-child/source/Sketchbook_sadchild/sketchbook.sketchbook","0","3","3","1","1.083229","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wallet/notes_1_lambert.notes_1_lambert","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/cama/colchon.colchon","0","3","3","1","1.984726","0","3"
"/Game/DESCARGAS/cama/frazada.frazada","0","3","3","1","1.792208","0","3"
"/Game/DESCARGAS/nike/source/finalized/tex_u1_v1.tex_u1_v1","0","3","3","1","2.604656","0","3"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","10.314216","0","16"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/light-brown-hair-wig/PELUCA.PELUCA","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wrapped-flower-bouquet/textures/Sepals1.Sepals1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wrapped-flower-bouquet/textures/Sepals2.Sepals2","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/laptop/laptopmaterial.laptopmaterial","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/leather-purse/purse.purse","0","3","3","1","0.000000","0","3"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","1.526915","0","2"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/3ce-face-blush-unusual-day/3CE61.3CE61","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/buzz-toy/source/BuzzBaked.BuzzBaked","0","3","3","1","0.000000","0","3"
